제품보고서번호,공장명,결함유형,신고일자,신고시각,처리일자,처리시각,작업자직업명,사고발생장소,신고일시,처리일시
202200000164M31976,공장D,기계 결함,20220607,71207,20220812,152804,기술자,라인1,2022-06-07 07:12:07,2022-08-12 15:28:04
202200000166M33776,공장D,기계 결함,20220523,125023,20220627,204906,기타,라인5,2022-05-23 12:50:23,2022-06-27 20:49:06
202200000173M68053,공장A,안전 문제,20220302,184257,20221022,232444,기타,라인5,2022-03-02 18:42:57,2022-10-22 23:24:44
202200000174M31959,공장A,품질 문제,20221008,40429,20221211,224531,기술자,라인3,2022-10-08 04:04:29,2022-12-11 22:45:31
202200000177M23545,공장E,전기 결함,20220122,152716,20220710,164157,검사원,라인3,2022-01-22 15:27:16,2022-07-10 16:41:57
202200000186M49353,공장A,전기 결함,20220124,125231,20220418,210828,관리자,라인4,2022-01-24 12:52:31,2022-04-18 21:08:28
202200000190M75318,공장C,품질 문제,20220402,175408,20221205,224416,기술자,라인5,2022-04-02 17:54:08,2022-12-05 22:44:16
202200000191M99474,공장E,전기 결함,20220101,75813,20220528,223920,관리자,라인1,2022-01-01 07:58:13,2022-05-28 22:39:20
202200000195M36736,공장B,기계 결함,20220207,232034,20220324,164231,관리자,라인4,2022-02-07 23:20:34,2022-03-24 16:42:31
202200000202M60859,공장C,기계 결함,20220325,102121,20221120,185314,기술자,라인3,2022-03-25 10:21:21,2022-11-20 18:53:14
202200000203M36309,공장A,안전 문제,20220217,102421,20220703,230742,기술자,라인5,2022-02-17 10:24:21,2022-07-03 23:07:42
202200000211M77863,공장D,품질 문제,20221004,182228,20221027,141247,기타,라인1,2022-10-04 18:22:28,2022-10-27 14:12:47
202200000212M62083,공장A,전기 결함,20220610,64346,20221020,165228,기술자,라인1,2022-06-10 06:43:46,2022-10-20 16:52:28
202200000214M99045,공장E,안전 문제,20220427,95715,20220709,160612,검사원,라인5,2022-04-27 09:57:15,2022-07-09 16:06:12
202200000217M32671,공장E,품질 문제,20220314,33934,20220409,163852,기술자,라인3,2022-03-14 03:39:34,2022-04-09 16:38:52
202200000221M61663,공장B,품질 문제,20220621,14047,20220818,204231,검사원,라인3,2022-06-21 14:04:07,2022-08-18 20:42:31
202200000226M82082,공장A,품질 문제,20220225,15256,20220706,184350,기타,라인4,2022-02-25 15:25:06,2022-07-06 18:43:50
202200000229M12911,공장E,품질 문제,20220107,55518,20220915,180140,기타,라인1,2022-01-07 05:55:18,2022-09-15 18:01:40
202200000231M93763,공장A,품질 문제,20220418,140319,20221102,105245,검사원,라인3,2022-04-18 14:03:19,2022-11-02 10:52:45
202200000239M11802,공장C,품질 문제,20220401,220603,20221103,124453,기타,라인1,2022-04-01 22:06:03,2022-11-03 12:44:53
202200000242M49384,공장A,품질 문제,20220228,225103,20221121,180253,관리자,라인5,2022-02-28 22:51:03,2022-11-21 18:02:53
202200000244M31918,공장E,전기 결함,20220429,171830,20221128,220358,기술자,라인3,2022-04-29 17:18:30,2022-11-28 22:03:58
202200000246M70713,공장A,안전 문제,20220607,182123,20221217,103126,기술자,라인4,2022-06-07 18:21:23,2022-12-17 10:31:26
202200000258M53016,공장C,기계 결함,20220921,140546,20221005,161522,관리자,라인4,2022-09-21 14:05:46,2022-10-05 16:15:22
202200000261M25151,공장D,품질 문제,20220207,150456,20220419,202141,검사원,라인2,2022-02-07 15:04:56,2022-04-19 20:21:41
202200000263M76690,공장A,전기 결함,20220107,21242,20221012,105315,검사원,라인3,2022-01-07 21:24:02,2022-10-12 10:53:15
202200000267M22183,공장A,기계 결함,20221010,184134,20221215,110943,관리자,라인4,2022-10-10 18:41:34,2022-12-15 11:09:43
202200000269M22874,공장E,기계 결함,20220127,42836,20220607,162501,검사원,라인2,2022-01-27 04:28:36,2022-06-07 16:25:01
202200000272M63351,공장A,기계 결함,20220131,52503,20220515,163756,기술자,라인3,2022-01-31 05:25:03,2022-05-15 16:37:56
202200000275M12557,공장D,기계 결함,20220428,30540,20221007,123127,검사원,라인3,2022-04-28 03:05:40,2022-10-07 12:31:27
202200000277M92018,공장E,전기 결함,20220315,115956,20221027,122635,기타,라인4,2022-03-15 11:59:56,2022-10-27 12:26:35
202200000280M56975,공장B,품질 문제,20220115,234341,20220828,140331,검사원,라인2,2022-01-15 23:43:41,2022-08-28 14:03:31
202200000288M96831,공장D,품질 문제,20220419,101917,20220826,234549,검사원,라인5,2022-04-19 10:19:17,2022-08-26 23:45:49
202200000291M32399,공장C,안전 문제,20220816,60514,20220823,233928,검사원,라인1,2022-08-16 06:05:14,2022-08-23 23:39:28
202200000295M54064,공장B,안전 문제,20220829,204125,20221121,213747,검사원,라인1,2022-08-29 20:41:25,2022-11-21 21:37:47
202200000301M16893,공장E,품질 문제,20220301,182420,20220408,205053,관리자,라인2,2022-03-01 18:24:20,2022-04-08 20:50:53
202200000302M89909,공장B,안전 문제,20220609,115640,20221101,102959,관리자,라인4,2022-06-09 11:56:40,2022-11-01 10:29:59
202200000314M15600,공장B,안전 문제,20220228,10933,20220618,222310,기술자,라인3,2022-02-28 10:09:33,2022-06-18 22:23:10
202200000315M50764,공장E,안전 문제,20220108,154750,20221217,133354,기타,라인4,2022-01-08 15:47:50,2022-12-17 13:33:54
202200000317M55714,공장A,전기 결함,20220501,234639,20220904,182011,기타,라인5,2022-05-01 23:46:39,2022-09-04 18:20:11
202200000319M83744,공장A,기계 결함,20220629,93450,20221009,164119,관리자,라인3,2022-06-29 09:34:50,2022-10-09 16:41:19
202200000321M28589,공장C,기계 결함,20220527,201925,20220709,103110,기술자,라인3,2022-05-27 20:19:25,2022-07-09 10:31:10
202200000322M53484,공장E,안전 문제,20220322,34551,20221222,172654,기타,라인5,2022-03-22 03:45:51,2022-12-22 17:26:54
202200000331M13420,공장B,전기 결함,20220925,193405,20221009,212149,기술자,라인2,2022-09-25 19:34:05,2022-10-09 21:21:49
202200000339M60336,공장C,기계 결함,20220809,84614,20221105,232529,관리자,라인1,2022-08-09 08:46:14,2022-11-05 23:25:29
202200000345M76105,공장C,전기 결함,20220511,174239,20220525,190728,기술자,라인1,2022-05-11 17:42:39,2022-05-25 19:07:28
202200000349M14014,공장B,전기 결함,20220327,154236,20220331,100615,기타,라인4,2022-03-27 15:42:36,2022-03-31 10:06:15
202200000351M28070,공장A,기계 결함,20220528,135318,20220930,234726,관리자,라인2,2022-05-28 13:53:18,2022-09-30 23:47:26
202200000354M92074,공장A,전기 결함,20220516,4454,20221215,193641,기타,라인3,2022-05-16 04:45:04,2022-12-15 19:36:41
202200000355M20729,공장A,안전 문제,20220706,202029,20221210,164630,검사원,라인5,2022-07-06 20:20:29,2022-12-10 16:46:30
202200000356M55017,공장E,품질 문제,20220531,123303,20221013,225607,기술자,라인3,2022-05-31 12:33:03,2022-10-13 22:56:07
202200000357M76320,공장D,기계 결함,20220126,55730,20221227,143052,기타,라인4,2022-01-26 05:57:30,2022-12-27 14:30:52
202200000358M37751,공장A,전기 결함,20220609,222604,20220718,131959,기타,라인2,2022-06-09 22:26:04,2022-07-18 13:19:59
202200000364M60993,공장B,전기 결함,20220204,115610,20220221,115733,기술자,라인2,2022-02-04 11:56:10,2022-02-21 11:57:33
202200000366M20647,공장B,안전 문제,20220424,110820,20221012,230931,검사원,라인4,2022-04-24 11:08:20,2022-10-12 23:09:31
202200000367M18716,공장A,전기 결함,20220526,233321,20220730,191436,검사원,라인5,2022-05-26 23:33:21,2022-07-30 19:14:36
202200000370M99912,공장B,기계 결함,20220803,232532,20220820,115522,기술자,라인3,2022-08-03 23:25:32,2022-08-20 11:55:22
202200000373M87575,공장D,전기 결함,20220328,141757,20220405,235909,관리자,라인1,2022-03-28 14:17:57,2022-04-05 23:59:09
202200000377M97922,공장C,기계 결함,20220501,142634,20220621,210330,검사원,라인3,2022-05-01 14:26:34,2022-06-21 21:03:30
202200000378M65766,공장E,안전 문제,20220613,1915,20221121,173723,관리자,라인2,2022-06-13 19:01:05,2022-11-21 17:37:23
202200000379M23403,공장E,전기 결함,20220901,10134,20220915,232221,관리자,라인4,2022-09-01 10:13:04,2022-09-15 23:22:21
202200000386M32677,공장A,품질 문제,20220519,203456,20221215,223030,관리자,라인1,2022-05-19 20:34:56,2022-12-15 22:30:30
202200000395M29508,공장D,품질 문제,20220716,51335,20220718,163108,검사원,라인5,2022-07-16 05:13:35,2022-07-18 16:31:08
202200000398M97142,공장A,안전 문제,20220214,194824,20220302,150811,관리자,라인1,2022-02-14 19:48:24,2022-03-02 15:08:11
202200000399M97235,공장B,안전 문제,20220326,72313,20220612,113718,기타,라인2,2022-03-26 07:23:13,2022-06-12 11:37:18
202200000402M68335,공장C,품질 문제,20220323,135002,20221104,223803,검사원,라인3,2022-03-23 13:50:02,2022-11-04 22:38:03
202200000404M42093,공장D,품질 문제,20220202,194406,20221016,164836,기술자,라인5,2022-02-02 19:44:06,2022-10-16 16:48:36
202200000410M27019,공장A,전기 결함,20220907,162908,20221229,202902,기타,라인2,2022-09-07 16:29:08,2022-12-29 20:29:02
202200000415M89634,공장B,전기 결함,20220403,35803,20220609,133134,검사원,라인3,2022-04-03 03:58:03,2022-06-09 13:31:34
202200000420M15949,공장C,품질 문제,20220218,113410,20220311,193821,관리자,라인2,2022-02-18 11:34:10,2022-03-11 19:38:21
202200000423M99480,공장B,기계 결함,20220924,193602,20221210,195112,검사원,라인3,2022-09-24 19:36:02,2022-12-10 19:51:12
202200000424M84740,공장B,전기 결함,20220301,113252,20221216,165335,관리자,라인2,2022-03-01 11:32:52,2022-12-16 16:53:35
202200000426M26896,공장B,기계 결함,20220924,21633,20221222,121623,관리자,라인4,2022-09-24 21:06:33,2022-12-22 12:16:23
202200000430M30056,공장B,전기 결함,20220403,211145,20220919,145812,관리자,라인1,2022-04-03 21:11:45,2022-09-19 14:58:12
202200000433M13343,공장E,기계 결함,20220517,213920,20220831,211716,관리자,라인2,2022-05-17 21:39:20,2022-08-31 21:17:16
202200000435M63222,공장A,안전 문제,20220330,180354,20220725,172845,관리자,라인2,2022-03-30 18:03:54,2022-07-25 17:28:45
202200000446M94664,공장A,품질 문제,20220730,90056,20221105,103315,기타,라인5,2022-07-30 09:00:56,2022-11-05 10:33:15
202200000454M70403,공장C,전기 결함,20220202,62052,20220416,163231,기타,라인2,2022-02-02 06:20:52,2022-04-16 16:32:31
202200000455M39124,공장A,안전 문제,20220416,164142,20220525,202039,검사원,라인5,2022-04-16 16:41:42,2022-05-25 20:20:39
202200000456M53919,공장E,품질 문제,20220209,214008,20221201,225505,기술자,라인3,2022-02-09 21:40:08,2022-12-01 22:55:05
202200000457M45247,공장D,기계 결함,20220825,233648,20221228,214937,관리자,라인3,2022-08-25 23:36:48,2022-12-28 21:49:37
202200000464M78385,공장B,전기 결함,20221113,3943,20221213,160518,검사원,라인5,2022-11-13 03:09:43,2022-12-13 16:05:18
202200000465M50158,공장D,기계 결함,20220517,181107,20220730,233727,관리자,라인5,2022-05-17 18:11:07,2022-07-30 23:37:27
202200000471M19540,공장C,안전 문제,20220725,124622,20220828,164035,기술자,라인3,2022-07-25 12:46:22,2022-08-28 16:40:35
202200000477M40977,공장A,기계 결함,20220106,71948,20220322,153932,기타,라인1,2022-01-06 07:19:48,2022-03-22 15:39:32
202200000483M69275,공장C,안전 문제,20220717,91317,20221212,235413,기술자,라인1,2022-07-17 09:13:17,2022-12-12 23:54:13
202200000488M80588,공장D,품질 문제,20220209,50215,20221004,180223,기타,라인2,2022-02-09 05:02:15,2022-10-04 18:02:23
202200000492M99643,공장A,기계 결함,20220623,121425,20221211,204325,기타,라인2,2022-06-23 12:14:25,2022-12-11 20:43:25
202200000493M30764,공장A,전기 결함,20220524,42048,20221121,143322,검사원,라인4,2022-05-24 04:20:48,2022-11-21 14:33:22
202200000495M48494,공장E,안전 문제,20220929,52720,20221012,220322,기타,라인1,2022-09-29 05:27:20,2022-10-12 22:03:22
202200000499M35351,공장B,기계 결함,20220606,55729,20220804,202419,검사원,라인4,2022-06-06 05:57:29,2022-08-04 20:24:19
