Date,Time,CO(GT),PT08.S1(CO),NMHC(GT),C6H6(GT)
20/09/2004,18.00.00,5.6,1426.0,-200.0,31.1
18/09/2004,01.00.00,0.9,847.0,-200.0,3.7
15/07/2004,08.00.00,4.0,1291.0,-200.0,25.2
07/02/2005,05.00.00,0.6,879.0,-200.0,1.0
30/11/2004,10.00.00,3.6,1312.0,-200.0,15.9
29/08/2004,23.00.00,-200.0,1161.0,-200.0,12.2
13/05/2004,18.00.00,4.5,1374.0,-200.0,20.2
14/04/2004,08.00.00,5.0,1529.0,836.0,27.7
19/08/2004,13.00.00,1.1,980.0,-200.0,5.6
20/03/2004,07.00.00,1.1,1064.0,-200.0,4.3
14/12/2004,00.00.00,1.9,1071.0,-200.0,7.4
13/08/2004,14.00.00,0.7,841.0,-200.0,3.3
13/02/2005,08.00.00,2.8,1473.0,-200.0,11.9
19/03/2005,23.00.00,1.9,1217.0,-200.0,8.5
31/08/2004,10.00.00,-200.0,1180.0,-200.0,15.3
03/09/2004,00.00.00,-200.0,1045.0,-200.0,9.6
01/03/2005,15.00.00,0.9,822.0,-200.0,2.7
12/03/2005,06.00.00,-200.0,972.0,-200.0,1.5
10/09/2004,01.00.00,1.0,969.0,-200.0,5.5
18/10/2004,22.00.00,-200.0,995.0,-200.0,8.0
16/08/2004,09.00.00,2.1,1028.0,-200.0,12.0
05/12/2004,04.00.00,1.0,862.0,-200.0,2.8
09/11/2004,15.00.00,2.1,1045.0,-200.0,13.1
17/10/2004,07.00.00,-200.0,789.0,-200.0,2.3
14/09/2004,00.00.00,0.8,956.0,-200.0,5.6
18/01/2005,22.00.00,0.1,1021.0,-200.0,3.3
23/12/2004,15.00.00,3.3,1205.0,-200.0,12.8
10/09/2004,07.00.00,2.4,1209.0,-200.0,15.5
23/03/2005,20.00.00,7.2,1663.0,-200.0,32.0
21/08/2004,01.00.00,-200.0,895.0,-200.0,5.4
14/08/2004,20.00.00,1.4,1005.0,-200.0,7.3
20/07/2004,19.00.00,-200.0,1221.0,-200.0,14.9
20/10/2004,08.00.00,-200.0,1715.0,-200.0,37.9
17/07/2004,22.00.00,2.3,1142.0,-200.0,11.6
16/03/2005,05.00.00,0.6,927.0,-200.0,1.6
03/07/2004,09.00.00,1.9,1125.0,-200.0,11.1
02/10/2004,13.00.00,-200.0,1249.0,-200.0,11.2
18/10/2004,13.00.00,-200.0,1285.0,-200.0,19.9
20/06/2004,08.00.00,1.0,-200.0,-200.0,-200.0
13/06/2004,20.00.00,1.0,865.0,-200.0,3.6
11/10/2004,04.00.00,0.4,847.0,-200.0,1.9
07/11/2004,13.00.00,1.0,824.0,-200.0,3.7
13/01/2005,10.00.00,3.9,1321.0,-200.0,15.7
27/09/2004,10.00.00,1.9,992.0,-200.0,9.1
26/11/2004,21.00.00,8.1,1759.0,-200.0,31.6
08/10/2004,16.00.00,2.4,1305.0,-200.0,15.6
08/09/2004,14.00.00,-200.0,-200.0,-200.0,-200.0
18/07/2004,09.00.00,0.9,1088.0,-200.0,7.1
19/08/2004,11.00.00,1.1,1011.0,-200.0,6.1
09/10/2004,12.00.00,3.1,1472.0,-200.0,18.2
06/03/2005,01.00.00,1.8,1011.0,-200.0,4.6
17/07/2004,08.00.00,2.0,1079.0,-200.0,10.7
02/09/2004,15.00.00,-200.0,1049.0,-200.0,13.5
20/03/2004,12.00.00,2.6,1490.0,-200.0,11.7
23/03/2005,04.00.00,-200.0,993.0,-200.0,2.3
14/02/2005,16.00.00,1.1,921.0,-200.0,5.2
17/12/2004,10.00.00,5.0,-200.0,-200.0,-200.0
08/12/2004,06.00.00,0.9,923.0,-200.0,3.2
14/02/2005,04.00.00,0.5,923.0,-200.0,1.8
23/01/2005,00.00.00,0.8,1166.0,-200.0,10.1
12/05/2004,16.00.00,2.4,1250.0,-200.0,12.7
08/03/2005,00.00.00,1.5,988.0,-200.0,4.4
02/07/2004,22.00.00,2.1,1090.0,-200.0,12.7
24/07/2004,18.00.00,1.3,1034.0,-200.0,6.0
26/09/2004,11.00.00,1.0,844.0,-200.0,3.5
27/06/2004,00.00.00,2.1,1127.0,-200.0,11.7
25/10/2004,03.00.00,0.7,874.0,-200.0,4.1
01/06/2004,16.00.00,2.5,1278.0,-200.0,17.1
10/02/2005,10.00.00,4.3,-200.0,-200.0,-200.0
08/08/2004,22.00.00,1.9,1124.0,-200.0,10.4
15/12/2004,02.00.00,1.7,-200.0,-200.0,-200.0
04/04/2004,05.00.00,-200.0,1010.0,-200.0,3.0
08/05/2004,08.00.00,-200.0,1093.0,-200.0,8.5
20/08/2004,14.00.00,-200.0,924.0,-200.0,3.3
01/07/2004,00.00.00,2.3,1109.0,-200.0,12.9
07/01/2005,02.00.00,1.2,1010.0,-200.0,3.1
18/05/2004,14.00.00,2.0,1182.0,-200.0,12.5
02/01/2005,07.00.00,1.0,924.0,-200.0,2.6
24/05/2004,08.00.00,2.0,970.0,-200.0,9.7
03/08/2004,20.00.00,-200.0,1136.0,-200.0,10.3
12/01/2005,23.00.00,2.5,1216.0,-200.0,11.1
20/12/2004,23.00.00,1.1,794.0,-200.0,3.6
22/09/2004,20.00.00,3.8,1284.0,-200.0,18.3
16/11/2004,14.00.00,2.8,1017.0,-200.0,11.7
22/01/2005,07.00.00,0.5,1322.0,-200.0,13.2
08/07/2004,23.00.00,2.7,1302.0,-200.0,16.6
19/03/2004,20.00.00,3.9,1467.0,-200.0,19.8
14/04/2004,12.00.00,2.1,1122.0,238.0,10.4
03/04/2004,17.00.00,-200.0,1398.0,-200.0,15.2
26/10/2004,07.00.00,3.0,1267.0,-200.0,18.7
07/03/2005,21.00.00,2.8,1057.0,-200.0,8.9
05/10/2004,18.00.00,-200.0,1700.0,-200.0,40.5
18/12/2004,05.00.00,1.3,1065.0,-200.0,6.1
31/10/2004,13.00.00,1.8,1141.0,-200.0,8.8
03/05/2004,19.00.00,3.7,1407.0,-200.0,19.4
26/09/2004,12.00.00,1.0,846.0,-200.0,3.6
19/04/2004,19.00.00,-200.0,1032.0,-200.0,7.9
18/01/2005,03.00.00,0.7,880.0,-200.0,2.4
02/05/2004,10.00.00,1.6,1085.0,-200.0,8.5
17/08/2004,02.00.00,0.5,867.0,-200.0,2.9
11/02/2005,21.00.00,4.0,1521.0,-200.0,16.8
12/06/2004,19.00.00,1.1,1024.0,-200.0,6.3
05/01/2005,16.00.00,2.8,1281.0,-200.0,13.8
19/10/2004,06.00.00,-200.0,1117.0,-200.0,11.5
19/04/2004,14.00.00,-200.0,1088.0,-200.0,7.9
20/04/2004,22.00.00,-200.0,991.0,-200.0,7.7
06/10/2004,09.00.00,-200.0,1528.0,-200.0,25.8
30/10/2004,09.00.00,3.0,1206.0,-200.0,14.4
18/08/2004,00.00.00,-200.0,965.0,-200.0,6.4
28/10/2004,19.00.00,2.7,1140.0,-200.0,14.2
26/06/2004,00.00.00,1.2,870.0,-200.0,6.2
01/04/2005,01.00.00,0.6,818.0,-200.0,1.0
17/08/2004,08.00.00,2.5,1155.0,-200.0,16.0
07/06/2004,22.00.00,1.8,979.0,-200.0,8.9
12/07/2004,05.00.00,0.5,835.0,-200.0,3.3
17/12/2004,06.00.00,2.0,-200.0,-200.0,-200.0
17/01/2005,13.00.00,3.1,1166.0,-200.0,14.5
12/12/2004,07.00.00,1.3,909.0,-200.0,4.0
24/02/2005,02.00.00,0.9,949.0,-200.0,2.9
04/05/2004,19.00.00,4.7,1405.0,-200.0,22.1
13/08/2004,05.00.00,0.5,840.0,-200.0,2.0
27/10/2004,01.00.00,1.2,998.0,-200.0,5.7
13/03/2004,13.00.00,2.8,1328.0,154.0,12.3
28/11/2004,12.00.00,2.2,1089.0,-200.0,6.5
22/11/2004,00.00.00,0.3,970.0,-200.0,5.0
18/03/2005,04.00.00,0.9,966.0,-200.0,2.8
16/10/2004,13.00.00,-200.0,966.0,-200.0,8.2
01/07/2004,08.00.00,3.9,1380.0,-200.0,22.3
03/09/2004,15.00.00,-200.0,1104.0,-200.0,13.5
31/08/2004,08.00.00,-200.0,1333.0,-200.0,26.2
04/10/2004,17.00.00,-200.0,1531.0,-200.0,30.3
29/11/2004,21.00.00,1.4,1022.0,-200.0,4.6
11/01/2005,03.00.00,0.9,982.0,-200.0,2.1
25/06/2004,00.00.00,2.6,1072.0,-200.0,14.1
08/04/2004,17.00.00,3.6,1297.0,538.0,19.7
13/03/2005,05.00.00,-200.0,971.0,-200.0,2.0
05/03/2005,12.00.00,1.5,968.0,-200.0,5.3
31/05/2004,08.00.00,3.6,1252.0,-200.0,22.7
23/06/2004,17.00.00,3.6,1210.0,-200.0,20.7
24/01/2005,20.00.00,1.2,976.0,-200.0,7.3
07/05/2004,18.00.00,4.3,1205.0,-200.0,17.4
27/08/2004,07.00.00,2.4,-200.0,-200.0,-200.0
24/07/2004,07.00.00,1.0,1062.0,-200.0,8.1
14/05/2004,03.00.00,1.0,938.0,-200.0,5.1
05/12/2004,23.00.00,1.0,892.0,-200.0,3.3
21/06/2004,02.00.00,0.6,-200.0,-200.0,-200.0
16/01/2005,04.00.00,1.7,1003.0,-200.0,5.9
04/03/2005,18.00.00,3.6,1253.0,-200.0,13.3
08/04/2004,07.00.00,2.6,1274.0,226.0,13.8
16/07/2004,17.00.00,3.3,1157.0,-200.0,18.2
27/02/2005,15.00.00,0.9,890.0,-200.0,2.2
23/10/2004,05.00.00,0.7,925.0,-200.0,4.6
17/05/2004,06.00.00,1.3,1009.0,-200.0,7.0
16/06/2004,13.00.00,2.4,1087.0,-200.0,13.7
02/07/2004,11.00.00,1.8,1105.0,-200.0,10.1
22/02/2005,10.00.00,3.5,1266.0,-200.0,15.0
01/01/2005,22.00.00,2.1,1118.0,-200.0,6.4
07/05/2004,12.00.00,1.5,851.0,-200.0,8.2
28/03/2004,14.00.00,1.0,927.0,55.0,3.8
13/04/2004,08.00.00,4.5,1452.0,657.0,22.1
29/06/2004,10.00.00,2.7,1237.0,-200.0,15.3
31/12/2004,07.00.00,-200.0,820.0,-200.0,1.1
05/04/2004,13.00.00,3.1,1454.0,535.0,15.4
16/07/2004,23.00.00,2.2,1090.0,-200.0,13.6
26/03/2005,12.00.00,1.9,1243.0,-200.0,8.3
16/04/2004,21.00.00,3.4,1304.0,299.0,12.5
28/05/2004,01.00.00,-200.0,908.0,-200.0,6.1
03/02/2005,03.00.00,0.9,932.0,-200.0,2.8
09/04/2004,10.00.00,2.4,-200.0,226.0,-200.0
21/09/2004,22.00.00,1.5,1040.0,-200.0,8.1
02/02/2005,20.00.00,5.9,1470.0,-200.0,31.4
03/02/2005,20.00.00,3.9,1444.0,-200.0,17.6
20/10/2004,03.00.00,-200.0,1087.0,-200.0,9.3
27/10/2004,05.00.00,0.7,967.0,-200.0,5.1
24/04/2004,11.00.00,2.6,1354.0,358.0,14.4
14/08/2004,09.00.00,0.9,913.0,-200.0,4.7
12/10/2004,10.00.00,-200.0,998.0,-200.0,9.0
24/03/2005,01.00.00,1.7,1222.0,-200.0,8.1
08/04/2004,13.00.00,2.6,1176.0,301.0,14.2
04/07/2004,19.00.00,1.6,971.0,-200.0,9.1
19/03/2004,22.00.00,2.2,1175.0,-200.0,9.1
28/08/2004,20.00.00,-200.0,1029.0,-200.0,7.1
13/07/2004,10.00.00,2.8,1064.0,-200.0,14.3
10/08/2004,01.00.00,0.7,942.0,-200.0,4.9
14/03/2004,04.00.00,-200.0,1130.0,56.0,5.2
24/12/2004,22.00.00,5.4,-200.0,-200.0,-200.0
22/03/2004,04.00.00,-200.0,854.0,-200.0,0.8
13/02/2005,07.00.00,2.6,1443.0,-200.0,10.7
16/02/2005,01.00.00,2.5,1195.0,-200.0,10.7
08/11/2004,05.00.00,0.2,698.0,-200.0,0.4
12/03/2004,15.00.00,2.9,1353.0,185.0,14.2
16/03/2004,02.00.00,0.8,968.0,29.0,2.8
18/01/2005,21.00.00,1.5,1172.0,-200.0,6.0
01/10/2004,02.00.00,1.3,1035.0,-200.0,6.9
23/03/2004,13.00.00,3.5,1310.0,325.0,16.9
09/09/2004,07.00.00,3.0,1200.0,-200.0,18.2
03/05/2004,21.00.00,2.0,1214.0,-200.0,9.8
17/10/2004,03.00.00,-200.0,912.0,-200.0,3.6
29/08/2004,01.00.00,-200.0,1049.0,-200.0,6.9
31/03/2004,23.00.00,1.2,1029.0,84.0,4.8
08/06/2004,17.00.00,3.5,1220.0,-200.0,21.4
27/04/2004,11.00.00,1.7,1066.0,128.0,8.8
01/01/2005,08.00.00,1.1,915.0,-200.0,3.0
14/06/2004,19.00.00,1.5,914.0,-200.0,6.7
18/04/2004,23.00.00,-200.0,1167.0,-200.0,9.1
09/10/2004,02.00.00,1.4,1150.0,-200.0,7.3
12/11/2004,06.00.00,0.5,827.0,-200.0,1.7
21/03/2004,08.00.00,1.2,1155.0,-200.0,4.4
13/03/2005,11.00.00,1.0,1283.0,-200.0,7.7
18/08/2004,08.00.00,-200.0,1040.0,-200.0,11.2
13/06/2004,00.00.00,2.0,1086.0,-200.0,9.2
15/04/2004,13.00.00,3.5,1351.0,465.0,17.0
20/10/2004,18.00.00,7.7,1835.0,-200.0,40.0
01/12/2004,15.00.00,5.0,1426.0,-200.0,22.9
29/06/2004,00.00.00,1.5,1050.0,-200.0,9.7
13/01/2005,21.00.00,3.3,1304.0,-200.0,13.0
27/02/2005,17.00.00,1.1,888.0,-200.0,2.4
07/11/2004,16.00.00,0.9,789.0,-200.0,3.4
06/09/2004,02.00.00,0.6,854.0,-200.0,1.7
19/04/2004,04.00.00,-200.0,885.0,-200.0,2.1
06/11/2004,17.00.00,3.6,1416.0,-200.0,19.5
04/06/2004,07.00.00,-200.0,1198.0,-200.0,17.0
05/02/2005,19.00.00,1.6,999.0,-200.0,6.2
17/12/2004,07.00.00,2.5,-200.0,-200.0,-200.0
15/03/2005,10.00.00,4.0,1447.0,-200.0,15.6
15/01/2005,00.00.00,2.3,1111.0,-200.0,7.5
29/08/2004,14.00.00,-200.0,852.0,-200.0,3.5
29/03/2005,23.00.00,1.1,1025.0,-200.0,5.0
03/03/2005,11.00.00,2.0,1165.0,-200.0,6.9
09/07/2004,10.00.00,1.8,1036.0,-200.0,9.4
18/01/2005,23.00.00,0.2,1125.0,-200.0,4.9
25/10/2004,04.00.00,-200.0,882.0,-200.0,4.3
20/10/2004,11.00.00,-200.0,1631.0,-200.0,26.0
17/03/2004,09.00.00,6.6,1852.0,534.0,36.4
08/01/2005,06.00.00,1.2,985.0,-200.0,3.6
14/03/2004,20.00.00,5.9,1898.0,341.0,23.1
20/12/2004,18.00.00,4.1,1037.0,-200.0,11.9
22/02/2005,14.00.00,3.0,1209.0,-200.0,12.9
02/02/2005,11.00.00,4.3,1337.0,-200.0,14.8
07/08/2004,15.00.00,1.0,858.0,-200.0,5.3
18/06/2004,21.00.00,1.5,971.0,-200.0,7.6
18/11/2004,03.00.00,1.3,912.0,-200.0,3.5
11/10/2004,05.00.00,0.6,903.0,-200.0,3.4
03/05/2004,22.00.00,1.1,1016.0,-200.0,5.3
15/08/2004,16.00.00,0.5,771.0,-200.0,3.0
12/04/2004,07.00.00,0.5,865.0,36.0,0.9
28/07/2004,21.00.00,-200.0,960.0,-200.0,9.6
31/01/2005,01.00.00,1.5,891.0,-200.0,3.0
04/03/2005,13.00.00,3.4,1349.0,-200.0,16.4
22/02/2005,15.00.00,2.1,1120.0,-200.0,9.0
25/11/2004,20.00.00,2.6,1225.0,-200.0,14.5
04/03/2005,12.00.00,3.3,1330.0,-200.0,14.9
07/01/2005,21.00.00,4.8,1387.0,-200.0,17.7
27/03/2005,10.00.00,1.4,1184.0,-200.0,4.6
06/10/2004,14.00.00,-200.0,1335.0,-200.0,14.6
01/01/2005,11.00.00,1.7,1011.0,-200.0,5.4
09/07/2004,13.00.00,1.7,1008.0,-200.0,9.6
05/06/2004,10.00.00,1.1,891.0,-200.0,5.3
15/08/2004,11.00.00,1.2,954.0,-200.0,6.3
30/04/2004,10.00.00,2.7,1315.0,212.0,12.6
16/03/2004,21.00.00,5.1,1800.0,349.0,24.9
24/03/2004,19.00.00,4.5,1501.0,556.0,20.2
19/04/2004,12.00.00,-200.0,1105.0,-200.0,10.9
12/09/2004,05.00.00,-200.0,901.0,-200.0,2.3
24/11/2004,05.00.00,1.0,931.0,-200.0,3.4
19/09/2004,13.00.00,2.0,1059.0,-200.0,11.9
13/10/2004,00.00.00,-200.0,786.0,-200.0,2.2
13/03/2005,07.00.00,-200.0,944.0,-200.0,1.6
31/05/2004,17.00.00,3.0,1196.0,-200.0,21.4
04/07/2004,15.00.00,0.5,852.0,-200.0,4.1
28/05/2004,15.00.00,1.7,1026.0,-200.0,12.3
20/03/2005,00.00.00,1.9,1200.0,-200.0,6.8
23/03/2005,05.00.00,0.5,976.0,-200.0,1.8
21/11/2004,03.00.00,0.3,901.0,-200.0,5.1
18/08/2004,16.00.00,1.4,1023.0,-200.0,7.4
15/04/2004,12.00.00,3.9,1392.0,597.0,17.0
05/10/2004,03.00.00,-200.0,826.0,-200.0,2.7
12/05/2004,00.00.00,1.7,1122.0,-200.0,8.7
24/11/2004,21.00.00,5.3,1429.0,-200.0,23.9
03/01/2005,02.00.00,3.0,-200.0,-200.0,-200.0
08/11/2004,20.00.00,-200.0,1189.0,-200.0,23.1
24/08/2004,19.00.00,1.4,1072.0,-200.0,6.8
31/01/2005,03.00.00,0.5,787.0,-200.0,0.5
01/12/2004,00.00.00,2.2,1039.0,-200.0,7.5
20/06/2004,15.00.00,0.8,-200.0,-200.0,-200.0
26/01/2005,14.00.00,0.5,900.0,-200.0,4.8
22/03/2004,18.00.00,3.8,1407.0,426.0,18.3
02/08/2004,22.00.00,0.3,1092.0,-200.0,10.7
12/06/2004,04.00.00,0.5,853.0,-200.0,4.1
07/04/2004,08.00.00,3.1,1286.0,454.0,15.7
25/01/2005,22.00.00,0.1,853.0,-200.0,2.4
05/10/2004,05.00.00,-200.0,887.0,-200.0,4.1
11/08/2004,11.00.00,1.7,1144.0,-200.0,8.3
14/09/2004,10.00.00,-200.0,1219.0,-200.0,11.8
13/10/2004,22.00.00,-200.0,847.0,-200.0,3.8
11/02/2005,14.00.00,5.8,-200.0,-200.0,-200.0
23/06/2004,22.00.00,2.8,1199.0,-200.0,15.1
14/05/2004,13.00.00,2.5,1072.0,-200.0,13.0
11/11/2004,04.00.00,1.1,930.0,-200.0,5.4
01/03/2005,21.00.00,2.2,911.0,-200.0,5.3
21/04/2004,21.00.00,-200.0,1209.0,-200.0,16.4
25/04/2004,17.00.00,1.4,918.0,138.0,4.7
27/02/2005,23.00.00,1.3,943.0,-200.0,3.9
09/01/2005,09.00.00,0.7,943.0,-200.0,1.9
11/03/2005,05.00.00,0.7,897.0,-200.0,2.1
10/04/2004,02.00.00,1.7,1074.0,102.0,6.4
29/05/2004,01.00.00,1.1,940.0,-200.0,6.8
21/02/2005,04.00.00,-200.0,879.0,-200.0,0.5
12/10/2004,16.00.00,-200.0,955.0,-200.0,7.9
25/07/2004,01.00.00,0.9,965.0,-200.0,3.7
26/04/2004,16.00.00,1.5,984.0,133.0,6.4
25/01/2005,00.00.00,-200.0,785.0,-200.0,1.0
28/09/2004,09.00.00,4.1,1236.0,-200.0,21.3
13/01/2005,00.00.00,2.9,1232.0,-200.0,11.5
04/03/2005,20.00.00,4.6,1326.0,-200.0,18.5
28/04/2004,09.00.00,4.6,1592.0,658.0,24.7
16/01/2005,07.00.00,1.4,1011.0,-200.0,5.4
17/10/2004,06.00.00,-200.0,827.0,-200.0,2.1
29/11/2004,20.00.00,1.9,1114.0,-200.0,7.3
16/10/2004,05.00.00,-200.0,926.0,-200.0,4.7
23/05/2004,19.00.00,1.1,1085.0,-200.0,5.8
09/05/2004,10.00.00,-200.0,977.0,-200.0,4.5
19/03/2005,13.00.00,2.1,1212.0,-200.0,8.5
01/12/2004,23.00.00,2.0,1060.0,-200.0,7.5
07/12/2004,17.00.00,2.6,1175.0,-200.0,13.9
05/02/2005,16.00.00,1.0,904.0,-200.0,3.4
21/11/2004,00.00.00,2.5,1187.0,-200.0,13.9
26/02/2005,18.00.00,2.8,987.0,-200.0,4.2
09/11/2004,06.00.00,-200.0,780.0,-200.0,3.2
15/10/2004,23.00.00,-200.0,936.0,-200.0,4.8
27/05/2004,14.00.00,-200.0,1049.0,-200.0,10.1
10/05/2004,17.00.00,2.5,1137.0,-200.0,17.8
27/04/2004,06.00.00,1.4,1120.0,111.0,8.9
22/02/2005,21.00.00,2.7,1122.0,-200.0,8.5
18/11/2004,21.00.00,4.3,1281.0,-200.0,17.2
28/09/2004,16.00.00,3.2,1174.0,-200.0,18.8
16/03/2004,10.00.00,5.3,1735.0,437.0,25.1
15/03/2005,16.00.00,2.5,1213.0,-200.0,12.3
31/07/2004,10.00.00,3.4,1272.0,-200.0,15.7
16/06/2004,19.00.00,3.3,1197.0,-200.0,18.3
12/11/2004,11.00.00,1.6,996.0,-200.0,6.9
11/09/2004,20.00.00,-200.0,1148.0,-200.0,8.7
29/08/2004,07.00.00,-200.0,870.0,-200.0,2.8
25/12/2004,14.00.00,4.0,1424.0,-200.0,13.2
11/04/2004,13.00.00,1.1,894.0,66.0,4.0
25/02/2005,23.00.00,2.7,1188.0,-200.0,10.1
23/07/2004,02.00.00,0.8,956.0,-200.0,6.0
14/02/2005,08.00.00,2.3,1233.0,-200.0,11.4
30/12/2004,17.00.00,-200.0,883.0,-200.0,4.8
10/01/2005,23.00.00,1.7,1177.0,-200.0,7.3
21/02/2005,10.00.00,2.9,1197.0,-200.0,9.6
24/10/2004,18.00.00,4.3,1482.0,-200.0,20.3
03/04/2005,06.00.00,0.4,848.0,-200.0,1.3
21/04/2004,04.00.00,-200.0,804.0,-200.0,2.0
03/06/2004,06.00.00,-200.0,1012.0,-200.0,10.1
30/01/2005,23.00.00,1.3,932.0,-200.0,3.5
25/10/2004,15.00.00,4.2,1512.0,-200.0,25.5
04/07/2004,14.00.00,0.4,809.0,-200.0,3.2
12/08/2004,14.00.00,1.0,949.0,-200.0,5.0
10/10/2004,15.00.00,1.8,1155.0,-200.0,5.8
11/03/2004,00.00.00,1.2,1185.0,31.0,3.6
30/03/2005,12.00.00,1.9,1136.0,-200.0,9.6
16/11/2004,18.00.00,4.2,1129.0,-200.0,18.5
03/02/2005,23.00.00,2.1,1195.0,-200.0,9.1
16/11/2004,15.00.00,2.2,985.0,-200.0,10.9
26/07/2004,01.00.00,1.2,945.0,-200.0,4.8
02/12/2004,05.00.00,0.7,880.0,-200.0,2.4
24/06/2004,13.00.00,1.1,975.0,-200.0,5.7
28/08/2004,23.00.00,-200.0,1125.0,-200.0,9.3
31/05/2004,16.00.00,1.8,1104.0,-200.0,15.7
23/05/2004,01.00.00,3.6,1405.0,-200.0,15.9
25/11/2004,15.00.00,2.5,1164.0,-200.0,13.4
04/02/2005,19.00.00,3.0,1146.0,-200.0,11.8
11/11/2004,08.00.00,3.1,1287.0,-200.0,17.3
23/11/2004,10.00.00,6.6,1702.0,-200.0,31.5
22/05/2004,22.00.00,2.6,1321.0,-200.0,12.7
28/03/2004,23.00.00,1.1,942.0,57.0,2.9
12/02/2005,17.00.00,3.7,1556.0,-200.0,17.1
01/02/2005,04.00.00,0.8,1042.0,-200.0,3.6
06/06/2004,09.00.00,0.7,784.0,-200.0,2.8
03/05/2004,11.00.00,2.0,1060.0,-200.0,10.9
23/08/2004,09.00.00,2.0,1011.0,-200.0,12.0
07/09/2004,01.00.00,0.8,888.0,-200.0,3.0
23/08/2004,18.00.00,1.5,951.0,-200.0,7.4
20/07/2004,07.00.00,-200.0,1472.0,-200.0,24.8
17/11/2004,03.00.00,0.8,833.0,-200.0,1.9
25/01/2005,11.00.00,0.4,892.0,-200.0,3.8
29/04/2004,01.00.00,1.0,1042.0,84.0,5.2
29/11/2004,08.00.00,4.2,1440.0,-200.0,20.6
11/06/2004,12.00.00,2.0,1096.0,-200.0,13.1
07/09/2004,20.00.00,3.3,1172.0,-200.0,15.3
25/01/2005,13.00.00,0.3,872.0,-200.0,3.6
12/07/2004,00.00.00,0.9,954.0,-200.0,7.5
29/11/2004,18.00.00,2.3,1161.0,-200.0,10.0
10/06/2004,23.00.00,2.7,1106.0,-200.0,14.2
02/11/2004,04.00.00,-200.0,791.0,-200.0,2.6
